# 모델이 틀리게 옮긴 뜻을 사람이 고친 것.
#
# 색인에 실린 뜻을 빈도 상위부터 훑어 보니 **넷 중 하나가 틀리거나 부정확했다.**
# 그것도 가장 흔한 낱말부터 그랬다 — 来る 가 "오래오래 기다려라", 取る 가 "다녀가다",
# 相手 가 "동료, 사촌" 이었다.
#
# 틀리는 방식은 몇 가지로 갈린다.
#   ① 딴 낱말   見る → "보다, 보내다"(送る) · 臓物 → "간장, 찹쌀국수"
#   ② 품사 어긋남  違う → "다름, 다른"(동사인데 명사) · 歩く → "걸을, 걷다"
#   ③ 같은 말 두 번  聞く → "듣다, 듣는다" · 入れる → "넣다, 넣는다"
#   ④ 설명문     教える → "선생님이 가르치는 것, 학생이 배우는 것"
#
# ③④는 tidy 가 길이와 중복으로 거르지만, ①②는 짧고 한국어라 **걸러낼 방법이 없다.**
# 모델을 바꿔서 풀 문제도 아니다(qwen 3B·7B 와 견줘 Apple 모델이 나았다).
# 남은 길은 사람이 보는 것이라, 빈도 상위부터 훑어 고친다.
#
# 색인 구울 때 모델 것보다 나중에 넣어 이기게 한다. 다듬지 않고 그대로 싣는다.
言う	いう	말하다
ついつい	ついつい	그만, 무심코
物乞い	ものごい	구걸, 거지
やんちゃ	やんちゃ	장난꾸러기
廷吏	ていり	법정 직원
正面玄関	しょうめんげんかん	정문 현관
隊列	たいれつ	대열
手綱	たづな	고삐
札幌	さっぽろ	삿포로
観音	かんのん	관음
剃る	そる	깎다, 밀다
母艦	ぼかん	모함
# 3만 위 밖 311개. 흔하지는 않지만 화면에 뜨면 영어가 남는 자리다.
溝	こう	구, 10의 32승
留守番電話	るすばんでんわ	자동응답 전화
真夏	まなつ	한여름
結び方	むすびかた	매듭 짓는 법
辛うじて	かろうじて	가까스로
問題外	もんだいがい	말도 안 됨
何だかんだ	なんだかんだ	이러니저러니
心因	しんいん	심인
目の敵	めのかたき	눈엣가시
見上げた	みあげた	훌륭한
鈴蘭	すずらん	은방울꽃
麻疹	ましん	홍역
どっこい	どっこい	영차
全寮制	ぜんりょうせい	전원 기숙사제
梁	りょう	양나라
真っ向	まっこう	정면
行軍	こうぐん	행군
高瀬	たかせ	얕은 여울
お茶漬け	おちゃづけ	오차즈케
ほくろ	ほくろ	점
家宝	かほう	가보
手玉	てだま	공기놀이
縫う	ぬう	꿰매다
越後	えちご	에치고
開放的	かいほうてき	개방적
しゃー	しゃー	쉬익
淋しい	さびしい	외롭다
蜃気楼	しんきろう	신기루
見えにくい	みえにくい	잘 안 보이다
一言	いちごん	한마디
人様	ひとさま	남, 남들
性同一性	せいどういつせい	성 정체성
水割り	みずわり	물 탄 술
背伸び	せのび	발돋움
誓言	せいげん	맹세
靴紐	くつひも	신발끈
いい迷惑	いいめいわく	괜한 민폐
おねしょ	おねしょ	야뇨, 오줌 싸기
厩舎	きゅうしゃ	마구간
立ち聞き	たちぎき	엿듣기
脇道	わきみち	샛길
しかめっ面	しかめっつら	찡그린 얼굴
やる気満々	やるきまんまん	의욕 만만
七十	ななじゅう	일흔, 70
交響楽団	こうきょうがくだん	교향악단
仕事帰り	しごとがえり	퇴근길
口が堅い	くちがかたい	입이 무겁다
後ろ足	うしろあし	뒷다리
朕	ちん	짐
浅瀬	あさせ	여울
目立ちたがり	めだちたがり	나서기 좋아함
緩衝地帯	かんしょうちたい	완충 지대
黒ずくめ	くろずくめ	온통 검은
お婿さん	おむこさん	사위, 신랑
タチの悪い	たちのわるい	질이 나쁜
下忍	げにん	하급 닌자
前戯	ぜんぎ	전희
吹奏楽	すいそうがく	취주악
坊さん	ぼうさん	스님
救命胴衣	きゅうめいどうい	구명조끼
絶世	ぜっせい	절세
耐性菌	たいせいきん	내성균
近付ける	ちかづける	가까이하다
野犬	やけん	들개
たらふく	たらふく	실컷
勲	くん	공훈
単弁	たんべん	홑꽃잎
夢オチ	ゆめおち	꿈이었다 결말
娘婿	むすめむこ	사위
心当たりがない	こころあたりがない	짚이는 데가 없다
毒グモ	どくぐも	독거미
粗暴	そぼう	난폭함
貞操	ていそう	정조
上履き	うわばき	실내화
不味い	まずい	맛없다
仔	こ	새끼
分かれ道	わかれみち	갈림길
切手収集	きってしゅうしゅう	우표 수집
升	しょう	되
名付け親	なづけおや	이름 지어 준 이
小豆	あずき	팥
御用達	ごようたし	단골 납품처
植民地時代	しょくみんちじだい	식민지 시대
眠たい	ねむたい	졸리다
線維症	せんいしょう	섬유증
荒削り	あらけずり	거칠게 다듬은
見込み違い	みこみちがい	오산
追伸	ついしん	추신
雨期	うき	우기
お供え	おそなえ	제물, 공물
お門違い	おかどちがい	번지수가 틀림
一言で言えば	ひとことでいえば	한마디로 하면
先遣隊	せんけんたい	선발대
内閣総理大臣	ないかくそうりだいじん	내각총리대신
孤立無援	こりつむえん	고립무원
学芸員	がくげいいん	학예사
木っ端みじん	こっぱみじん	산산조각
殺人教唆	さつじんきょうさ	살인 교사
物好き	ものずき	별난 취향
禿鷹	はげたか	독수리
一人っきり	ひとりっきり	혼자뿐
交通信号	こうつうしんごう	교통 신호
催眠療法	さいみんりょうほう	최면 요법
十七	じゅうなな	열일곱, 17
嵯峨	さが	험준함
川釣り	かわづり	민물낚시
甲板員	かんぱんいん	갑판원
病巣	びょうそう	병소
缶蹴り	かんけり	깡통 차기
花蜜	かみつ	꽃꿀
釣り上げ	つりあげ	무대 승강 장치
黒曜石	こくようせき	흑요석
齧歯類	げっしるい	설치류
いけず	いけず	심술궂음
いじめられっ子	いじめられっこ	괴롭힘당하는 아이
おしめ	おしめ	기저귀
お下げ	おさげ	땋은 머리
内製化	ないせいか	자체 생산화
名ばかり	なばかり	이름뿐
姪御	めいご	조카딸
後ずさり	あとずさり	뒷걸음질
泳がせる	およがせる	헤엄치게 하다
目眩	めまい	어지럼증
背びれ	せびれ	등지느러미
螺旋状	らせんじょう	나선형
野性的	やせいてき	야성적
雨季	うき	우기
飛ばし携帯	とばしけいたい	대포폰
しかめ面	しかめつら	찡그린 얼굴
ばっちい	ばっちい	더럽다
一枚岩	いちまいいわ	통바위
下駄	げた	게다, 나막신
反戦	はんせん	반전
夏至	げし	하지
奇想天外	きそうてんがい	기상천외
尻ぬぐい	しりぬぐい	뒷수습
救急搬送	きゅうきゅうはんそう	응급 이송
松原	まつばら	솔밭
発がん	はつがん	발암
真珠湾攻撃	しんじゅわんこうげき	진주만 공격
苦い経験	にがいけいけん	쓴 경험
言いたい放題	いいたいほうだい	제멋대로 지껄임
野牛	やぎゅう	들소
長兄	ちょうけい	맏형
きな臭い	きなくさい	탄내 나다
すっからかん	すっからかん	빈털터리
やれば出来る	やればできる	하면 된다
一言で言うと	ひとことでいうと	한마디로 하면
二者択一	にしゃたくいつ	양자택일
吹奏楽部	すいそうがくぶ	취주악부
四つんばい	よつんばい	네발로 김
四川	しせん	쓰촨
寿退社	ことぶきたいしゃ	결혼 퇴사
断ち切り	たちきり	잘라 냄
有効射程	ゆうこうしゃてい	유효 사거리
楽隊	がくたい	악대
漕ぐ	こぐ	젓다
花魁	おいらん	유녀
重鎮	じゅうちん	중진
長野県	ながのけん	나가노현
顎鬚	あごひげ	턱수염
さびた	さびた	나무수국
てんとう虫	てんとうむし	무당벌레
ぬか漬け	ぬかづけ	쌀겨 절임
もじゃもじゃ	もじゃもじゃ	부스스한
一把	いちわ	한 다발
亡き父	なきちち	돌아가신 아버지
兵営	へいえい	병영
加速装置	かそくそうち	가속 장치
勢揃い	せいぞろい	총집합
外苑	がいえん	외원
姪っ子	めいっこ	조카딸
小市民	しょうしみん	소시민
小村	こむら	작은 마을
小物入れ	こものいれ	소품 상자
快気祝い	かいきいわい	쾌유 축하
松林	まつばやし	솔숲
照れ屋	てれや	부끄럼쟁이
猫舌	ねこじた	뜨거운 걸 못 먹음
理髪店	りはつてん	이발소
発がん性	はつがんせい	발암성
目立ちたがり屋	めだちたがりや	나서기 좋아하는 이
知る人ぞ知る	しるひとぞしる	아는 사람만 아는
結紮	けっさつ	결찰
肴	さかな	안주
胚性	はいせい	배아성
色とりどり	いろとりどり	형형색색
芽吹く	めぶく	싹트다
軒下	のきした	처마 밑
近江	おうみ	오미
骨と皮	ほねとかわ	뼈와 가죽
と来たら	ときたら	~로 말하자면
どんぐり	どんぐり	도토리
よじ登る	よじのぼる	기어오르다
ヤミ金	やみきん	사채
一樹	いちじゅ	나무 한 그루
事なかれ主義	ことなかれしゅぎ	무사안일주의
喉が渇く	のどがかわく	목이 마르다
微速	びそく	아주 느린 속도
恒星系	こうせいけい	항성계
桑	くわ	뽕나무
梅酒	うめしゅ	매실주
極冠	きょっかん	극관
正誤	せいご	옳고 그름
涙もろい	なみだもろい	눈물이 많다
特別顧問	とくべつこもん	특별 고문
独断的	どくだんてき	독단적
老兵	ろうへい	노병
肉食魚	にくしょくぎょ	육식어
自炊	じすい	자취
薪割り	まきわり	장작 패기, 도끼
行儀よくする	ぎょうぎよくする	얌전히 굴다
見かけによらず	みかけによらず	보기와는 달리
親指姫	おやゆびひめ	엄지공주
赤飯	せきはん	팥밥
金魚鉢	きんぎょばち	금붕어 어항
銀幕	ぎんまく	은막
飛び級	とびきゅう	월반
飲まず食わず	のまずくわず	굶주린 채
さん付け	さんづけ	~씨를 붙임
つまみ出す	つまみだす	집어내다
なぶり殺し	なぶりごろし	고문해 죽임
まとめ買い	まとめがい	한꺼번에 사기
下賤	げせん	천한 신분
乗り回す	のりまわす	타고 돌아다니다
別腹	べつばら	디저트 배
刺し違える	さしちがえる	맞찌르다
前蹴り	まえげり	앞차기
吉川線	よしかわせん	목의 할퀸 자국
吊り上げ	つりあげ	무대 승강 장치
地衣類	ちいるい	지의류
壊血病	かいけつびょう	괴혈병
就学前	しゅうがくまえ	취학 전
心臓弁膜	しんぞうべんまく	심장 판막
心臓弁膜症	しんぞうべんまくしょう	심장 판막증
手を尽くす	てをつくす	온갖 수를 쓰다
早馬	はやうま	파발마
景気づけ	けいきづけ	기운 북돋우기
東京行き	とうきょういき	도쿄행
桃園	ももぞの	복숭아밭
櫂	かい	노
滑落	かつらく	미끄러져 떨어짐
点取り虫	てんとりむし	점수벌레
焦げる	こげる	타다, 눋다
焦げ臭い	こげくさい	탄내 나다
猛禽	もうきん	맹금
疎水性	そすいせい	소수성
白羽	しらは	흰 깃
皮むき	かわむき	껍질 벗기기
督促	とくそく	독촉
短信	たんしん	단신
神のしもべ	かみのしもべ	신의 종
穴掘り	あなほり	구덩이 파기
筆頭株主	ひっとうかぶぬし	최대 주주
細胞死	さいぼうし	세포사
翼竜	よくりゅう	익룡
腹が減る	はらがへる	배가 고프다
茂る	しげる	우거지다
誓いを立てる	ちかいをたてる	맹세하다
釈迦如来	しゃかにょらい	석가여래
野薔薇	のばら	들장미
銀食器	ぎんしょっき	은식기
集英	しゅうえい	인재가 모임
雑居	ざっきょ	잡거
雑食	ざっしょく	잡식
雪洞	ぼんぼり	종이 등롱
高知県	こうちけん	고치현
あざ笑う	あざわらう	비웃다
いい線いってる	いいせんいってる	제법 잘하고 있다
えくぼ	えくぼ	보조개
お盆休み	おぼんやすみ	오봉 연휴
かんしゃく持ち	かんしゃくもち	다혈질
そっちのけ	そっちのけ	제쳐 두기
どなた様	どなたさま	어느 분
なにか用	なにかよう	무슨 일이야?
りんご飴	りんごあめ	사과 사탕
アヒル口	あひるぐち	오리 입
下衆野郎	げすやろう	비열한 놈
主寝室	しゅしんしつ	안방
二割	にわり	2할, 20%
人間国宝	にんげんこくほう	인간 국보
何方か	どなたか	어느 분인가
催眠術師	さいみんじゅつし	최면술사
全摘出	ぜんてきしゅつ	전적출
千曳	ちびき	아주 무거운 것
啓蒙思想	けいもうしそう	계몽사상
在宅勤務	ざいたくきんむ	재택근무
夜露	よつゆ	밤이슬
好敵手	こうてきしゅ	호적수
寒々	さむざむ	썰렁한
恒常的	こうじょうてき	항상적
意固地	いこじ	고집불통
手かせ	てかせ	수갑
散大	さんだい	동공 확대
昼すぎ	ひるすぎ	정오 지나서
本籍	ほんせき	본적
殖民	しょくみん	식민
段違い	だんちがい	격이 다름
焼き刃	やきば	담금질한 날
片持ち	かたもち	외팔보
物笑い	ものわらい	웃음거리
生け花	いけばな	꽃꽂이
稼ぎ手	かせぎて	벌이하는 사람
絶対領域	ぜったいりょういき	절대영역
縄鏢	じょうひょう	줄 표창
話に乗る	はなしにのる	이야기에 응하다
警笛	けいてき	경적
走り幅跳び	はしりはばとび	멀리뛰기
越前	えちぜん	에치젠
邪念	じゃねん	사념
霊柩	れいきゅう	영구, 관
